Category,ProductName,Dateofsale,RegionCode,StoreCode,Noofpieces,Amount,Tax,TotalAmount,Status,DateCreated
FootBall,shoes,Sun Feb 05 2023 05:30:00 GMT+0530 (India Standard Time),west,imphol,6,10000,10%,11000,Active,Sat Feb 04 2023 08:27:43 GMT+0530 (India Standard Time)
Tennis,tshirt,Sun Feb 05 2023 05:30:00 GMT+0530 (India Standard Time),east,kota,5,1200,10%,1212,Active,Sat Feb 04 2023 08:30:10 GMT+0530 (India Standard Time)
Cricket,shoes,Thu Feb 09 2023 05:30:00 GMT+0530 (India Standard Time),south,delhi,7,2000,10%,2200,Active,Sat Feb 04 2023 08:31:30 GMT+0530 (India Standard Time)
FootBall,Foot Ball,Fri Feb 10 2023 05:30:00 GMT+0530 (India Standard Time),west,lucknow,5,2000,10%,2200,InActive,Sat Feb 04 2023 08:32:58 GMT+0530 (India Standard Time)
Tennis,shoes,Mon Feb 06 2023 05:30:00 GMT+0530 (India Standard Time),south,up,5,1000,10%,1100,Active,Mon Feb 06 2023 07:03:54 GMT+0530 (India Standard Time)
Tennis,toolkit,Tue Feb 07 2023 05:30:00 GMT+0530 (India Standard Time),west,kanya,7,5000,10%,5500,InActive,Tue Feb 07 2023 09:43:36 GMT+0530 (India Standard Time)
Cricket,Pad,Thu Feb 09 2023 05:30:00 GMT+0530 (India Standard Time),south,01Aurai,3,2000,10%,2200,InActive,Thu Feb 09 2023 04:19:56 GMT+0530 (India Standard Time)
FootBall,net,Fri Feb 10 2023 05:30:00 GMT+0530 (India Standard Time),north,00Goa,2,700,10%,770,Active,Thu Feb 09 2023 05:29:49 GMT+0530 (India Standard Time)
Tennis,Raqet,Sat Feb 11 2023 05:30:00 GMT+0530 (India Standard Time),west,00Noida,6,2000,10%,2200,Active,Fri Feb 10 2023 06:32:39 GMT+0530 (India Standard Time)
FootBall,Net,Sun Feb 12 2023 05:30:00 GMT+0530 (India Standard Time),east,42dELI,2,700,10%,770,InActive,Sat Feb 11 2023 07:19:05 GMT+0530 (India Standard Time)
Tennis,Ball,Sun Feb 19 2023 05:30:00 GMT+0530 (India Standard Time),west,01Aurai,2,1000,10%,1100,Active,Sun Feb 19 2023 07:34:10 GMT+0530 (India Standard Time)
Tennis,shoes,Sat Feb 25 2023 05:30:00 GMT+0530 (India Standard Time),south,00Noida,2,1000,10%,1100,Active,Fri Feb 24 2023 08:55:46 GMT+0530 (India Standard Time)
FootBall,Ball,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),south,01Nagpada,2,2000,10%,2200,Active,Sat Feb 25 2023 10:14:21 GMT+0530 (India Standard Time)
Cricket,pad,Fri Mar 03 2023 05:30:00 GMT+0530 (India Standard Time),south,00Noida,7,5000,10%,5500,InActive,Thu Mar 02 2023 08:17:29 GMT+0530 (India Standard Time)
FootBall,Football,Wed Mar 15 2023 05:30:00 GMT+0530 (India Standard Time),south,123456,2,1000,7,770,Active,Sat Mar 04 2023 07:40:39 GMT+0530 (India Standard Time)
Tennis,Ball,Thu Mar 09 2023 05:30:00 GMT+0530 (India Standard Time),west,delhi,4,2000,10%,2200,InActive,Tue Mar 07 2023 08:38:28 GMT+0530 (India Standard Time)
FootBall,shoes,Fri Mar 31 2023 05:30:00 GMT+0530 (India Standard Time),north,42dELI,-,5000,10%,5500,Active,Thu Mar 09 2023 12:07:10 GMT+0530 (India Standard Time)
Cricket,Helmat,Wed Mar 15 2023 05:30:00 GMT+0530 (India Standard Time),north,00Noida,2,700,10%,770,InActive,Tue Mar 14 2023 04:39:34 GMT+0530 (India Standard Time)
Cricket,Gloves,Fri Mar 24 2023 05:30:00 GMT+0530 (India Standard Time),west,98Beta 1,2,500,10%,550,Active,Tue Mar 14 2023 05:15:36 GMT+0530 (India Standard Time)
Tennis,Net,Tue Mar 28 2023 05:30:00 GMT+0530 (India Standard Time),east,Mumbai01,7,5000,10%,5500,InActive,Tue Mar 14 2023 05:59:44 GMT+0530 (India Standard Time)
Cricket,Boll,Fri Mar 31 2023 05:30:00 GMT+0530 (India Standard Time),north,00Goa,4,4000,10%,4400,InActive,Wed Mar 15 2023 09:00:27 GMT+0530 (India Standard Time)
FootBall,Net,Wed Mar 29 2023 05:30:00 GMT+0530 (India Standard Time),west,delhi west,2,3000,10%,3300,Active,Thu Mar 16 2023 08:45:14 GMT+0530 (India Standard Time)
